step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
121,31665,121,0.21775404180302435,0.0,0.8867924528301887,0.5166703672834898,0.0,0.7777777777777778
122,31930,122,0.4692904048631533,0.0,0.7739130434782608,,,
123,32195,123,0.3125512641559284,0.0,0.8543689320388349,,,
124,32508,124,0.3935819732024178,0.0,0.808695652173913,,,
125,32829,125,0.2642362944470779,0.0,0.8260869565217391,,,
126,33046,126,0.3045481310164659,0.0,0.8333333333333334,,,
127,33351,127,0.15051874013517458,0.0,0.9210526315789473,,,
128,33536,128,0.3471871118483756,0.0,0.8241758241758241,,,
129,33857,129,0.4000398788830821,0.0,0.7339449541284404,0.1654822443671884,0.0,0.8831168831168831
130,34138,130,0.31457508084773306,0.0,0.8315789473684211,,,
131,34363,131,0.09556607167277735,0.0,0.927536231884058,,,
132,34644,132,0.33398557622624264,0.0,0.8260869565217391,,,
133,34877,133,0.14294981611491211,0.0,0.935064935064935,,,
134,35166,134,0.16430882155614768,0.0,0.872093023255814,,,
135,35463,135,0.4532812719689192,0.0,0.7285714285714285,,,
136,35704,136,0.11561760077070755,0.0,0.9550561797752809,,,
137,35969,137,0.1895876313603306,0.0,0.8505747126436781,0.538050220867798,0.0,0.7777777777777778
138,36170,138,0.15105318206514048,0.0,0.9295774647887324,,,
139,36355,139,0.24127073291158183,0.0,0.8901098901098901,,,
140,36628,140,0.2706134335810558,0.0,0.8349514563106796,,,
141,36853,141,0.06358263334320745,0.0,0.9420289855072463,,,
142,37086,142,0.16400897140029344,0.0,0.8641975308641975,,,
143,37311,143,0.0844701051321855,0.0,0.9605263157894737,,,
144,37544,144,0.10892382212822878,0.0,0.935064935064935,,,
145,37729,145,0.01775248984076701,1.0,1.0,0.16167110150837644,0.0,0.9090909090909091
146,38034,146,0.1829126402995838,0.0,0.8952380952380953,,,
147,38275,147,0.1913448712142257,0.0,0.8987341772151899,,,
148,38564,148,0.12190004957136254,0.0,0.8837209302325582,,,
149,38813,149,0.25636740467792973,0.0,0.8426966292134831,,,
